metro,metro2,country,rank_300,Nominal GDP 2015,Nominal GDP per capita 2015,Output per worker 2015,Compound growth real GDP 2000-2015,Compound growth real GDP per capita 2000-2015,Compound growth output per worker 2000-2015,Traded Sector productivity differential 2015,Stock of foreign direct investment per capita 2009-2015,Stock of foreing direct onvestment 2009-2015,Share of publications in top 10 percent 2010-2013,Patents per capita 2008-2012,Stock of venture capital per capita 2006-2015,Share of population with tertiary Education 2015 or most recent year available,Aviation passengers 2014,Download Speeds 2015,label_cluster,cluster name
Stockholm,Stockholm,Sweden,91,167911.40000,64223.14000,126.36850,0.02975,0.01703,0.01816,0.26486,1641.06500,4290.56450,0.14077,2.62481,1.02640,42.00000,30804376.00000,63.99936,2,Knowledge Centers
Stuttgart,Stuttgart,Germany,83,193142.50000,61012.92000,107.48090,0.01310,0.00924,0.00716,0.17672,641.70720,2031.38820,0.13638,3.00956,0.36224,31.50000,13654886.00000,34.21806,7,International Middleweights
Suzhou,Suzhou,China,27,440255.30000,41306.34000,47.22174,0.12867,0.09508,0.04260,3.52431,3487.04400,37165.95700,0.09032,0.00100,0.02634,3.60000,1076720.00000,31.60348,1,Factory China
Sydney,Sydney,Australia,47,251253.60000,51114.55000,102.73380,0.02089,0.00780,0.00517,-0.05334,5230.15000,25708.80500,0.13291,0.59945,0.20042,34.50000,49519916.00000,17.07507,7,International Middleweights
Tampa,"Tampa-St. Petersburg-Clearwater, FL",USA,101,140263.40000,47143.79000,99.79614,0.01708,0.00272,0.01142,-0.13364,299.59010,891.34784,0.13273,0.28809,0.34732,34.22637,34745080.00000,38.74167,6,American Middleweights
Tangshan,Tangshan,China,77,190742.80000,24446.37000,63.17818,0.11292,0.10519,0.08117,7.91525,61.78928,482.11087,,0.00482,0.00867,6.20000,455584.00000,12.69009,1,Factory China
Tel Aviv,Tel Aviv,Israel,88,144874.60000,39161.65000,72.74263,0.03258,0.01407,0.00463,0.02237,368.55520,1363.43310,0.10562,0.60076,1.11306,39.10000,22470500.00000,27.28643,7,International Middleweights
Tianjin,Tianjin,China,20,477807.70000,30538.45000,26.14889,0.14129,0.10781,0.09666,1.88600,1364.63700,21351.24400,0.09795,0.04604,0.00133,17.00000,21142196.00000,16.63418,3,Emerging gateways
Tokyo,Tokyo,Japan,1,1623904.00000,43884.20000,91.67584,0.00895,0.00387,0.00341,0.13275,420.71450,15568.24700,0.08777,2.48597,0.01741,45.60000,140500000.00000,63.75745,5,Global Giants
Toronto,Toronto,Canada,39,292432.00000,47750.23000,89.28641,0.02208,0.00486,0.00473,-0.03383,2735.47700,16752.60700,0.15119,0.47275,0.48398,37.40000,48013144.00000,28.97967,7,International Middleweights
Vancouver,Vancouver,Canada,124,114446.80000,45738.47000,87.46149,0.02657,0.01263,0.01099,0.05223,3357.05100,8400.01370,0.14995,0.68967,0.88338,37.80000,23291164.00000,23.41766,7,International Middleweights
Vienna-Bratislava,Wien-Bratislava,Austria,62,200062.00000,52340.74000,95.31238,0.01507,0.00820,0.00483,-0.03468,1434.59200,5483.43950,0.13258,0.36508,0.14983,27.10000,28792180.00000,40.76015,7,International Middleweights
Warsaw,Warszawa,Poland,94,164068.40000,56563.61000,49.86394,0.04240,0.03773,0.02891,0.57174,3193.07000,9261.82030,0.08934,0.11489,0.01425,38.60000,13843289.00000,26.96402,3,Emerging gateways
