metro,label_cluster,cluster name,gmm14_2015_nomgdp,gdp_pc_nom2015,nom_prod15,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_producti_15,trade_prod_diff,fdipc15,stockvalue15,share10pc13,patentspc12,vcpc15,ed15,pass15,down15
Tokyo,5,Global Giants,1623904,43884.2,83.2634644571,0.0089456,0.0038696,0.0034147,0.1327541,420.7145,15568.247,0.087769,2.485965,0.0174144,45.6,140500000,63.75745
Toronto,7,International Middleweights,292432,47750.23,92.4130956895,0.022079,0.0048583,0.0047262,-0.0338333,2735.477,16752.607,0.1511937,0.4727502,0.4839812,37.4,48013144,28.97967
Vancouver,7,International Middleweights,114446.8,45738.47,88.4989174142,0.0265727,0.012628,0.0109919,0.0522288,3357.051,8400.0137,0.1499499,0.6896673,0.883383,37.8,23291164,23.41766
Vienna-Bratislava,7,International Middleweights,200062,52340.74,99.9610272809,0.0150698,0.0082015,0.0048287,-0.0346754,1434.592,5483.4395,0.1325759,0.3650784,0.1498276,27.1,28792180,40.76015
Warsaw,3,Emerging gateways,164068.4,56563.61,95.9744954665,0.0424043,0.0377324,0.0289146,0.5717387,3193.07,9261.8203,0.0893428,0.1148922,0.0142491,38.6,13843289,26.96402
Washington,2,Knowledge Centers,454088.3,74468.98,139.1086827989,0.0233856,0.0080705,0.0130202,0.129624,1016.461,6198.0581,0.1543726,0.6514828,1.814353,47.76428,65957028,35.33204
Wenzhou,1,Factory China,131440.9,14171.83,42.8369508539,0.1087414,0.0950768,0.0350697,1.566933,20.58725,190.94264,,0.0000156,,8.2,11936669,23.23461
Wuhan,3,Emerging gateways,323517.1,31529.42,75.0612755334,0.1299736,0.1116565,0.097538,2.857116,1369.961,14056.892,0.0946679,0.0712995,0.0010133,19.7,28334472,17.17794
Wuxi,1,Factory China,269957.4,41367.71,95.1834509798,0.1226682,0.1039847,0.0431836,3.50973,1196.187,7806.0781,0.096544,0.001543,0.0111158,9.4,7733864,29.92594
Xi'an,3,Emerging gateways,160578.4,18658.02,62.9862478525,0.1289745,0.1188926,0.0954021,2.615539,1548.357,13325.78,0.0787484,0.0725331,0.0295637,18.6,45582868,17.68105
Xuzhou,1,Factory China,149682.3,17284.13,85.6972816379,0.1260081,0.1276368,0.059302,3.726437,163.7125,1417.7662,,0.0000292,,4.6,2166020,33.32612
Yantai,1,Factory China,183500.5,26002.62,94.3583137932,0.1311194,0.1261866,0.0812127,4.466108,162.0527,1143.6061,,0.0024459,0.001417,6.6,8877398,17.16049
Zhengzhou,1,Factory China,209689.6,22783.93,76.9610441089,0.1284237,0.1072022,0.0894603,3.598928,360.4966,3317.7949,0.0618006,0.036226,,13.6,26265780,24.86246
Zibo,1,Factory China,123273.2,26608.22,107.5795022166,0.1270132,0.1190888,0.0812696,4.949753,81.9264,379.55679,,0.0002915,,6.9,,13.97671
Zurich,2,Knowledge Centers,135595.8,68760.55,105.1211721839,0.0195961,0.0069942,0.0026654,0.1316848,2551.771,5032.0933,0.1779609,1.506555,0.4980047,42,31218004,51.82592
